spanish,russian,index,alignment,spanish_eng,russian_eng
profundamente,глубоко,0,,deeply,deep
convencido,убежден,1, 1|1,convinced,convinced
interés,общей,2, 2|3,interest,general
común,заинтересованности,3,,common,interest
humanidad,человечества,4, 4|4,humanity,humanity
promover,поощрении,5,,promote,encouragement
ampliar,расширении,6, 6|6,enlarge,enlargement
exploración,исследования,7,,exploration,research
utilización,использования,8,,utilization,use
espacio,космического,9, 9|9,space,space
ultraterrestre,пространства,10,,extraterrestrial,space
fines,мирных,11, 11|12,purposes,peaceful
pacíficos,целях,12, 12|11,peaceful,purposes
esfuerzos,постоянных,13, 13|14,efforts,permanent
continuos,усилиях,14,,continuous,efforts
extender,распространению,15,,to extend,dissemination
beneficios,государства,16, 16|18,Benefits,states
ello,получаемых,17,##### 17|69,it,received
derivan,выгод,18,,they derive,benefits
importancia,также,19, 19|20,importance,also
cooperación,важности,20, 20|22,cooperation,importance
internacional,международного,21, 21|21,international,international
campo,сотрудничества,22,,countryside,cooperation
naciones,области,23, 23|26,nations,areas
unidas,организация,24, 24|25,united,organization
deben,объединенных,25,,must,united
seguir,наций,26, 26|28,continue,nations
proporcionando,должна,27,,providing,should
punto,продолжать,28,,point,continue
focal,выполнять,29,,focal,fulfill
reafirmando,функции,30, 30|33,reaffirming,function
importancia,координатора,31, 31|34,importance,coordinator
cooperación,вновь,32, 32|36,cooperation,again
internacional,подтверждая,33, 33|35,international,reaffirming
desarrollo,важность,34,,developing,importance
derecho,международного,35, 35|39,right,international
incluidas,сотрудничества,36,,included,cooperation
normas,развитии,37,,rules,development
pertinentes,верховенства,38,,relevant,supremacy
derecho,права,39, 39|44,right,rights
espacial,включая,40, 40|43,space,including
importante,соответствующие,41, 41|45,important,the corresponding
función,нормы,42, 42|30,function,norms
cooperación,космического,43, 43|48,cooperation,space
internacional,права,44, 44|47,international,rights
exploración,важную,45,,exploration,important
utilización,роль,46,,utilization,role
espacio,международном,47, 47|51,space,international
ultraterrestre,сотрудничестве,48,,extraterrestrial,cooperation
fines,исследовании,49, 49|54,purposes,research
pacíficos,использовании,50, 50|53,peaceful,using
adhesión,космического,51,,accession,space
amplia,пространства,52,,wide,space
posible,мирных,53,,possible,peaceful
tratados,целях,54, 54|59,treaties,purposes
internacionales,также,55, 55|58,international,also
promueven,широкого,56,######## 56|127,promote,broad
usos,присоединения,57,,applications,joining
pacíficos,международным,58, 58|62,peaceful,international
espacio,договорам,59, 59|52,space,treaties
exterior,которые,60,,Exterior,which
profundamente,способствуют,61,,deeply,contribute to
preocupado,мирное,62,,worried,peaceful
posibilidad,использование,63,,possibility,usage
carrera,космического,64,,career,space
armamentos,пространства,65,,armaments,space
espacio,будучи,66, 66|64,space,being
ultraterrestre,серьезно,67,,extraterrestrial,Seriously
reconociendo,обеспокоен,68,,acknowledging,concerned about
estados,возможностью,69,# 69|75,state,opportunity
particular,гонки,70,,particular,race
gran,вооружений,71,,big,weapons
capacidad,космическом,72,,capacity,space
espacial,пространстве,73, 73|72,space,space
deben,признавая,74,* 74|83,must,recognizing
contribuir,государства,75,# 75|61,contribute,states
activamente,особенно,76,* 76|84,actively,especially
objetivo,те,77,,objective,those
prevenir,которые,78,,to prevent,which
carrera,обладают,79,,career,possess
armamentos,крупным,80,,armaments,large
espacio,космическим,81, 81|81,space,space
ultraterrestre,потенциалом,82,,extraterrestrial,potential
condición,должны,83,## 83|94,condition,must
esencial,активно,84,,essential,actively
promoción,способствовать,85,,promotion,contribute
cooperación,достижению,86,* 86|97,cooperation,achieving
internacional,цели,87,* 87|96,international,goals
exploración,предотвращения,88,,exploration,preventing
utilización,гонки,89,,utilization,race
espacio,вооружений,90, 90|91,space,weapons
ultraterrestre,космическом,91,,extraterrestrial,space
fines,пространстве,92,******* 92|177,purposes,space
pacíficos,важного,93,* 93|102,peaceful,important
considerando,условия,94,* 94|104,considering,conditions
desechos,развития,95,,waste,development
espaciales,международного,96,,spatial,international
problema,сотрудничества,97,,trouble,cooperation
preocupa,исследовании,98,,worries,research
todas,использовании,99,## 99|76,all,using
naciones,космического,100,,nations,space
observando,пространства,101,,watching,space
progresos,мирных,102,* 102|111,progress,peaceful
logrados,целях,103,,achieved,purposes
desarrollo,учитывая,104,,developing,Considering
ulterior,космический,105,,subsequent,space
exploración,мусор,106,,exploration,rubbish
aplicaciones,является,107,# 107|116,Applications,is an
espaciales,проблемой,108,,spatial,problem
fines,стран,109,* 109|103,purposes,countries
pacíficos,отмечая,110,* 110|119,peaceful,noting
así,прогресс,111,# 111|121,So,progress
varios,достигнутый,112,,several,reached
proyectos,дальнейшем,113,** 113|126,Projects,further
espaciales,развитии,114,,spatial,development
nacionales,исследования,115,## 115|132,national,research
cooperación,применения,116,,cooperation,application
contribuyen,космического,117,*** 117|85,contribute,space
cooperación,пространства,118,* 118|133,cooperation,space
internacional,мирных,119, 119|123,international,peaceful
importancia,целях,120,** 120|136,importance,purposes
mayor,также,121,,higher,also
cooperación,различных,122,* 122|129,cooperation,various
internacional,национальных,123,* 123|128,international,national
esfera,совместных,124,,sphere,joint
convencidos,космических,125,* 125|135,convinced,space
importancia,проектах,126, 126|130,importance,projects
recomendaciones,способствует,127,* 127|137,recommendations,promotes
figuran,международному,128,### 128|165,figure,international
resolución,сотрудничеству,129,* 129|139,resolution,cooperation
titulada,важность,130,# 130|140,titled,importance
"""el",дальнейшего,131,,"""the",further
milenio,международного,132,* 132|142,millennium,international
espacial,сотрудничества,133,* 133|117,space,cooperation
declaración,области,134,,statement,areas
viena,убеждены,135,,vienna,convinced
espacio,важности,136,* 136|118,space,importance
desarrollo,рекомендаций,137,,developing,recommendations
"humano""",содержащихся,138,,"human""",contained
aprobada,резолюции,139,,approved,resolution
tercera,озаглавленной,140,* 140|149,third,entitled
conferencia,«космическое,141,* 141|150,conference,"""Space"
naciones,тысячелетие,142,**** 142|185,nations,millennium
unidas,венская,143,* 143|152,united,Viennese
exploración,декларация,144,,exploration,declaration
utilización,космосе,145,,utilization,outer space
espacio,развитии,146, 146|141,space,development
ultraterrestre,человека»,147,,extraterrestrial,"man """
fines,принятой,148,** 148|120,purposes,adopted
pacíficos,третьей,149,* 149|158,peaceful,third
unispace,конференцией,150,# 150|156,unispace,conference
iii,организации,151,* 151|161,iii,organization
celebrada,объединенных,152,,celebrated,united
viena,наций,153,,vienna,nations
julio,исследованию,154,*** 154|180,July,research
informe,использованию,155,* 155|166,report,using
tercera,космического,156,* 156|167,third,space
conferencia,пространства,157,# 157|168,conference,space
naciones,мирных,158, 158|153,nations,peaceful
unidas,целях,159,*** 159|184,united,purposes
exploración,юниспейс,160,,exploration,unispace
utilización,iii,161,,utilization,iii
espacio,состоявшейся,162, 162|157,space,held
ultraterrestre,вене,163,,extraterrestrial,Vienna
fines,июля,164, 164|159,purposes,july
pacíficos,г,165,* 165|176,peaceful,G
viena,отчет,166, 166|163,vienna,report
julio,третьей,167, 167|164,July,third
publicación,конференции,168,,publication,conferences
naciones,организации,169, 169|171,nations,organization
unidas,объединенных,170, 170|170,united,united
número,наций,171,,number,nations
venta,исследованию,172,** 172|186,sale,research
si,использованию,173,,Yes,using
cap,космического,174,## 174|189,chap,space
yo,пространства,175,###### 175|95,me,space
resolución,мирных,176,,resolution,peaceful
hace,целях,177,,does,purposes
recomendación,вена,178,,recommendation,vein
comité,–,179,,committee,-
subcomisión,июля,180,,subcommittee,july
asuntos,г,181,,matters,G
jurídicos,издание,182, 182|181,legal,edition
º,организации,183,,º,organization
período,объединенных,184,,period,united
sesiones,наций,185,,sessions,nations
cuenta,продаже,186, 186|190,bill,sale
preocupaciones,№,187,,worries,No.
países,ei,188,****** 188|109,countries,ei
particular,гл,189,,particular,ch
países,i,190,,countries,i
desarrollo,резолюция,191,,developing,resolution
,одобряет,192,,,approves
,рекомендацию,193,,,recommendation
,комитета,194,,,committee
,том,195,,,volume
,юридический,196,,,legal
,подкомитет,197,,,subcommittee
,своей,198,,,his
,сороковой,199,,,fortieth
,сессии,200,,,session
,принимая,201,,,taking
,внимание,202,,,Attention
,озабоченности,203,,,concerns
,стран,204,,,countries
,частности,205,,,particular
,развивающихся,206,,,developing
,стран,207,,,countries
